epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13196.5,1.00652,0.94071,1.156,0.99398,0.98923,0.99466,0.84201,0.61454,0.39858,0.94589,0.00333244,0.00333244,0.00333244
2,25092.8,0.78997,0.52619,1.03163,0.99862,0.99752,0.99499,0.88257,0.51167,0.31515,0.89018,0.0065338,0.0065338,0.0065338
3,36967.7,0.74001,0.46929,1.00697,0.99961,0.99908,0.995,0.89962,0.45921,0.26376,0.86425,0.00960315,0.00960315,0.00960315
4,49386.2,0.6851,0.40745,0.98284,0.99981,0.99946,0.995,0.92548,0.39917,0.21331,0.83771,0.009406,0.009406,0.009406
5,62045.1,0.62696,0.35966,0.95905,0.99986,0.99975,0.995,0.9459,0.35245,0.18901,0.81705,0.009208,0.009208,0.009208
6,77149.5,0.58758,0.33594,0.94354,0.99993,0.99976,0.995,0.95289,0.32392,0.17329,0.80431,0.00901,0.00901,0.00901
7,90162.8,0.55997,0.32102,0.93307,0.9999,0.99978,0.995,0.96316,0.2984,0.16272,0.79627,0.008812,0.008812,0.008812
8,104598,0.54086,0.31019,0.92605,0.99993,0.99977,0.995,0.97053,0.27841,0.15147,0.78897,0.008614,0.008614,0.008614
9,120638,0.52434,0.30154,0.91991,0.99987,0.99984,0.995,0.97196,0.26932,0.14681,0.78544,0.008416,0.008416,0.008416
10,136928,0.51199,0.2951,0.91557,0.99984,0.99986,0.995,0.97466,0.25881,0.14106,0.78255,0.008218,0.008218,0.008218
11,153105,0.50086,0.28821,0.91083,0.99988,0.99988,0.995,0.97538,0.25151,0.13726,0.77982,0.00802,0.00802,0.00802
12,166084,0.49099,0.28405,0.90805,0.99988,0.99986,0.995,0.97794,0.24322,0.13383,0.77811,0.007822,0.007822,0.007822
